"id","keyword","cluster","content_type","target_calculator","primary_url","related_links","backlink_from","search_intent","priority","status","week","scheduled_order","slug","angle"
"149","bathroom tile cost per square foot","kitchen-bath","Blog","bathroom-tile-calculator","/tools/kitchen-bath/bathroom-tile-calculator.html","/tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","Commercial","Medium","Planned","38","149","bathroom-tile-cost-per-square-foot",""
"150","kitchen remodel cost per square foot 2026","kitchen-bath","Blog","cabinet-calculator","/tools/kitchen-bath/cabinet-calculator.html","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","Commercial","High","Planned","38","150","kitchen-remodel-cost-per-square-foot-2026",""
"151","bathroom remodel cost calculator","kitchen-bath","Blog","vanity-calculator","/tools/kitchen-bath/vanity-calculator.html","/tools/kitchen-bath/vanity-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/vanity-calculator.html | /tools/kitchen-bath/","Commercial","High","Planned","38","151","bathroom-remodel-cost-calculator",""
"152","how many subway tiles for backsplash","kitchen-bath","Blog","backsplash-calculator","/tools/kitchen-bath/backsplash-calculator.html","/tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/","Informational","Medium","Planned","38","152","how-many-subway-tiles-for-backsplash",""
"153","shower tile cost per square foot","kitchen-bath","Blog","shower-tile-calculator","/tools/kitchen-bath/shower-tile-calculator.html","/tools/kitchen-bath/shower-tile-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/shower-tile-calculator.html | /tools/kitchen-bath/","Commercial","Medium","Planned","39","153","shower-tile-cost-per-square-foot",""
"154","how to calculate kitchen cabinet square footage","kitchen-bath","Blog","cabinet-calculator","/tools/kitchen-bath/cabinet-calculator.html","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","Informational","Medium","Planned","39","154","how-to-calculate-kitchen-cabinet-square-footage",""
"155","tub surround tile calculator","kitchen-bath","Blog","tub-surround-calculator","/tools/kitchen-bath/tub-surround-calculator.html","/tools/kitchen-bath/tub-surround-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/tub-surround-calculator.html | /tools/kitchen-bath/","Informational","Low","Planned","39","155","tub-surround-tile-calculator",""
"156","quartz countertop cost per square foot installed","kitchen-bath","Blog","countertop-calculator","/tools/kitchen-bath/countertop-calculator.html","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/countertop-calculator.html | /tools/kitchen-bath/","Commercial","Medium","Planned","39","156","quartz-countertop-cost-per-square-foot-installed",""
"157","vanity size for a 60 inch bathroom","kitchen-bath","Blog","vanity-calculator","/tools/kitchen-bath/vanity-calculator.html","/tools/kitchen-bath/vanity-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/vanity-calculator.html | /tools/kitchen-bath/","Informational","Low","Planned","40","157","vanity-size-for-a-60-inch-bathroom",""
"158","outdoor kitchen cost per linear foot","kitchen-bath","Blog","cabinet-calculator","/tools/kitchen-bath/cabinet-calculator.html","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","Commercial","Low","Planned","40","158","outdoor-kitchen-cost-per-linear-foot",""
"159","cost to install wainscoting per square foot","kitchen-bath","Blog","cabinet-calculator","/tools/kitchen-bath/cabinet-calculator.html","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/backsplash-calculator.html | /tools/kitchen-bath/bathroom-tile-calculator.html | /tools/kitchen-bath/","/tools/kitchen-bath/cabinet-calculator.html | /tools/kitchen-bath/","Commercial","Low","Planned","40","159","cost-to-install-wainscoting-per-square-foot",""
"160","cost to replace windows per window 2026","windows-doors","Blog","window-calculator","/tools/windows-doors/window-calculator.html","/tools/windows-doors/window-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","/tools/windows-doors/window-calculator.html | /tools/windows-doors/","Commercial","High","Planned","40","160","cost-to-replace-windows-per-window-2026",""
"161","how to measure for replacement windows","windows-doors","Blog","window-calculator","/tools/windows-doors/window-calculator.html","/tools/windows-doors/window-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","/tools/windows-doors/window-calculator.html | /tools/windows-doors/","Informational","High","Planned","41","161","how-to-measure-for-replacement-windows",""
"162","garage door size for 2 car","windows-doors","Blog","garage-door-calculator","/tools/windows-doors/garage-door-calculator.html","/tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","/tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/","Informational","Medium","Planned","41","162","garage-door-size-for-2-car",""
"163","front door installation cost","windows-doors","Blog","door-calculator","/tools/windows-doors/door-calculator.html","/tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/","/tools/windows-doors/door-calculator.html | /tools/windows-doors/","Commercial","Medium","Planned","41","163","front-door-installation-cost",""
"164","egress window size for basement bedroom","windows-doors","Blog","egress-window-calculator","/tools/windows-doors/egress-window-calculator.html","/tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/","/tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","Informational","Medium","Planned","41","164","egress-window-size-for-basement-bedroom",""
"165","how many windows in a 2000 sq ft house","windows-doors","Blog","window-calculator","/tools/windows-doors/window-calculator.html","/tools/windows-doors/window-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","/tools/windows-doors/window-calculator.html | /tools/windows-doors/","Informational","Low","Planned","42","165","how-many-windows-in-a-2000-sq-ft-house",""
"166","standard exterior door size inches","windows-doors","Blog","door-calculator","/tools/windows-doors/door-calculator.html","/tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/","/tools/windows-doors/door-calculator.html | /tools/windows-doors/","Informational","Low","Planned","42","166","standard-exterior-door-size-inches",""
"167","garage door opener cost installed","windows-doors","Blog","garage-door-calculator","/tools/windows-doors/garage-door-calculator.html","/tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/door-calculator.html | /tools/windows-doors/egress-window-calculator.html | /tools/windows-doors/","/tools/windows-doors/garage-door-calculator.html | /tools/windows-doors/","Commercial","Low","Planned","42","167","garage-door-opener-cost-installed",""
"168","how many solar panels for a 2000 sq ft home","solar","Blog","solar-panel-calculator","/tools/solar/solar-panel-calculator.html","/tools/solar/solar-panel-calculator.html | /tools/solar/solar-cost-calculator.html | /tools/solar/","/tools/solar/solar-panel-calculator.html | /tools/solar/","Informational","High","Planned","42","168","how-many-solar-panels-for-a-2000-sq-ft-home",""
"169","solar panel cost per watt 2026","solar","Blog","solar-cost-calculator","/tools/solar/solar-cost-calculator.html","/tools/solar/solar-cost-calculator.html | /tools/solar/solar-panel-calculator.html | /tools/solar/","/tools/solar/solar-cost-calculator.html | /tools/solar/","Commercial","High","Planned","43","169","solar-panel-cost-per-watt-2026",""
"170","solar panel size for 1500 sq ft house","solar","Blog","solar-panel-calculator","/tools/solar/solar-panel-calculator.html","/tools/solar/solar-panel-calculator.html | /tools/solar/solar-cost-calculator.html | /tools/solar/","/tools/solar/solar-panel-calculator.html | /tools/solar/","Informational","Medium","Planned","43","170","solar-panel-size-for-1500-sq-ft-house",""
"171","how much does a 10kw solar system cost","solar","Blog","solar-cost-calculator","/tools/solar/solar-cost-calculator.html","/tools/solar/solar-cost-calculator.html | /tools/solar/solar-panel-calculator.html | /tools/solar/","/tools/solar/solar-cost-calculator.html | /tools/solar/","Commercial","Medium","Planned","43","171","how-much-does-a-10kw-solar-system-cost",""
"172","how many kWh does a solar panel produce per day","solar","Blog","solar-panel-calculator","/tools/solar/solar-panel-calculator.html","/tools/solar/solar-panel-calculator.html | /tools/solar/solar-cost-calculator.html | /tools/solar/","/tools/solar/solar-panel-calculator.html | /tools/solar/","Informational","Low","Planned","43","172","how-many-kwh-does-a-solar-panel-produce-per-day",""
"173","solar roi payback period by state","solar","Research","solar-cost-calculator","/tools/solar/solar-cost-calculator.html","/tools/solar/solar-cost-calculator.html | /tools/solar/solar-panel-calculator.html | /tools/solar/","/tools/solar/solar-cost-calculator.html | /tools/solar/","Commercial","High","Planned","44","173","solar-roi-payback-period-by-state","data report by state"
"174","how much concrete for a monolithic slab","foundation","Blog","foundation-calculator","/tools/foundation/foundation-calculator.html","/tools/foundation/foundation-calculator.html | /tools/foundation/basement-calculator.html | /tools/foundation/","/tools/foundation/foundation-calculator.html | /tools/foundation/","Informational","Medium","Planned","44","174","how-much-concrete-for-a-monolithic-slab",""
"175","basement wall concrete cost calculator","foundation","Blog","basement-calculator","/tools/foundation/basement-calculator.html","/tools/foundation/basement-calculator.html | /tools/foundation/foundation-calculator.html | /tools/foundation/","/tools/foundation/basement-calculator.html | /tools/foundation/","Commercial","Medium","Planned","44","175","basement-wall-concrete-cost-calculator",""
"176","foundation cost per square foot 2026","foundation","Blog","foundation-calculator","/tools/foundation/foundation-calculator.html","/tools/foundation/foundation-calculator.html | /tools/foundation/basement-calculator.html | /tools/foundation/","/tools/foundation/foundation-calculator.html | /tools/foundation/","Commercial","High","Planned","44","176","foundation-cost-per-square-foot-2026",""
"177","how thick should a basement wall be","foundation","Blog","basement-calculator","/tools/foundation/basement-calculator.html","/tools/foundation/basement-calculator.html | /tools/foundation/foundation-calculator.html | /tools/foundation/","/tools/foundation/basement-calculator.html | /tools/foundation/","Informational","Low","Planned","45","177","how-thick-should-a-basement-wall-be",""
"178","crawl space vs basement cost","foundation","Blog","basement-calculator","/tools/foundation/basement-calculator.html","/tools/foundation/basement-calculator.html | /tools/foundation/foundation-calculator.html | /tools/foundation/","/tools/foundation/basement-calculator.html | /tools/foundation/","Commercial","Low","Planned","45","178","crawl-space-vs-basement-cost",""
"179","cost to finish a basement per square foot","foundation","Blog","basement-calculator","/tools/foundation/basement-calculator.html","/tools/foundation/basement-calculator.html | /tools/foundation/foundation-calculator.html | /tools/foundation/","/tools/foundation/basement-calculator.html | /tools/foundation/","Commercial","High","Planned","45","179","cost-to-finish-a-basement-per-square-foot",""
"180","basement finishing cost calculator","foundation","Blog","basement-calculator","/tools/foundation/basement-calculator.html","/tools/foundation/basement-calculator.html | /tools/foundation/foundation-calculator.html | /tools/foundation/","/tools/foundation/basement-calculator.html | /tools/foundation/","Commercial","Medium","Planned","45","180","basement-finishing-cost-calculator",""
"181","cost to build a garage per square foot 2026","garage","Blog","garage-cost-calculator","/tools/garage/garage-cost-calculator.html","/tools/garage/garage-cost-calculator.html | /tools/garage/garage-slab-calculator.html | /tools/garage/","/tools/garage/garage-cost-calculator.html | /tools/garage/","Commercial","High","Planned","46","181","cost-to-build-a-garage-per-square-foot-2026",""
"182","garage slab thickness for 2 cars","garage","Blog","garage-slab-calculator","/tools/garage/garage-slab-calculator.html","/tools/garage/garage-slab-calculator.html | /tools/garage/garage-cost-calculator.html | /tools/garage/","/tools/garage/garage-slab-calculator.html | /tools/garage/","Informational","Medium","Planned","46","182","garage-slab-thickness-for-2-cars",""
"183","how much does a 24x24 garage slab cost","garage","Blog","garage-slab-calculator","/tools/garage/garage-slab-calculator.html","/tools/garage/garage-slab-calculator.html | /tools/garage/garage-cost-calculator.html | /tools/garage/","/tools/garage/garage-slab-calculator.html | /tools/garage/","Commercial","Medium","Planned","46","183","how-much-does-a-24x24-garage-slab-cost",""
"184","detached vs attached garage cost","garage","Blog","garage-cost-calculator","/tools/garage/garage-cost-calculator.html","/tools/garage/garage-cost-calculator.html | /tools/garage/garage-slab-calculator.html | /tools/garage/","/tools/garage/garage-cost-calculator.html | /tools/garage/","Commercial","Low","Planned","46","184","detached-vs-attached-garage-cost",""
"185","how to calculate stairs for a deck","stairs","Blog","wood-stair-calculator","/tools/stairs/wood-stair-calculator.html","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","Informational","Medium","Planned","47","185","how-to-calculate-stairs-for-a-deck",""
"186","stair rise and run code requirements","stairs","Blog","wood-stair-calculator","/tools/stairs/wood-stair-calculator.html","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","Informational","Medium","Planned","47","186","stair-rise-and-run-code-requirements",""
"187","how many steps for a 10 foot rise","stairs","Blog","wood-stair-calculator","/tools/stairs/wood-stair-calculator.html","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","Informational","Low","Planned","47","187","how-many-steps-for-a-10-foot-rise",""
"188","standard stair width residential code","stairs","Blog","wood-stair-calculator","/tools/stairs/wood-stair-calculator.html","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","/tools/stairs/wood-stair-calculator.html | /tools/stairs/","Informational","Low","Planned","47","188","standard-stair-width-residential-code",""
"189","asphalt driveway cost per square foot 2026","paving","Blog","asphalt-driveway-calculator","/tools/paving/asphalt-driveway-calculator.html","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","Commercial","High","Planned","48","189","asphalt-driveway-cost-per-square-foot-2026",""
"190","how many tons of asphalt for a driveway","paving","Blog","asphalt-driveway-calculator","/tools/paving/asphalt-driveway-calculator.html","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","Informational","Medium","Planned","48","190","how-many-tons-of-asphalt-for-a-driveway",""
"191","gravel vs asphalt driveway cost","paving","Blog","asphalt-driveway-calculator","/tools/paving/asphalt-driveway-calculator.html","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","Commercial","Medium","Planned","48","191","gravel-vs-asphalt-driveway-cost",""
"192","how thick should an asphalt driveway be","paving","Blog","asphalt-driveway-calculator","/tools/paving/asphalt-driveway-calculator.html","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","/tools/paving/asphalt-driveway-calculator.html | /tools/paving/","Informational","Low","Planned","48","192","how-thick-should-an-asphalt-driveway-be",""
"193","home renovation cost per square foot by room","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","High","Planned","49","193","home-renovation-cost-per-square-foot-by-room",""
"194","cost to gut and remodel a house 2026","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Medium","Planned","49","194","cost-to-gut-and-remodel-a-house-2026",""
"195","kitchen vs bathroom remodel cost comparison","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Medium","Planned","49","195","kitchen-vs-bathroom-remodel-cost-comparison",""
"196","whole house remodel cost calculator","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Medium","Planned","49","196","whole-house-remodel-cost-calculator",""
"197","cost to build a house per square foot 2026","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","High","Planned","50","197","cost-to-build-a-house-per-square-foot-2026",""
"198","diy vs hiring a contractor cost savings","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Informational","Medium","Planned","50","198","diy-vs-hiring-a-contractor-cost-savings",""
"199","home addition cost per square foot 2026","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","High","Planned","50","199","home-addition-cost-per-square-foot-2026",""
"200","how to budget for a home renovation","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Informational","Medium","Planned","50","200","how-to-budget-for-a-home-renovation",""
"201","building permit cost for home addition","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Informational","Low","Planned","51","201","building-permit-cost-for-home-addition",""
"202","cost to demolish a house per square foot","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Low","Planned","51","202","cost-to-demolish-a-house-per-square-foot",""
"203","best time of year to remodel a house","remodeling","Blog","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Informational","Low","Planned","51","203","best-time-of-year-to-remodel-a-house",""
"204","average cost of home improvements by category","remodeling","Research","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Medium","Planned","51","204","average-cost-of-home-improvements-by-category","data report"
"205","construction cost index 2026 forecast","remodeling","Research","home-renovation-cost-calculator","/tools/remodeling/home-renovation-cost-calculator.html","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","/tools/remodeling/home-renovation-cost-calculator.html | /tools/remodeling/","Commercial","Medium","Planned","52","205","construction-cost-index-2026-forecast","data report"
"206","cost to regrade a yard","landscaping","Blog","drainage-calculator","/tools/landscaping/drainage-calculator.html","/tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/gravel-calculator.html | /tools/landscaping/","/tools/landscaping/drainage-calculator.html | /tools/landscaping/","Commercial","Low","Planned","52","206","cost-to-regrade-a-yard",""
"207","cost to install a sprinkler system per zone","landscaping","Blog","drainage-calculator","/tools/landscaping/drainage-calculator.html","/tools/landscaping/drainage-calculator.html | /tools/landscaping/edging-calculator.html | /tools/landscaping/gravel-calculator.html | /tools/landscaping/","/tools/landscaping/drainage-calculator.html | /tools/landscaping/","Commercial","Low","Planned","52","207","cost-to-install-a-sprinkler-system-per-zone",""
"208","what size wire for 100 amp service","electrical","Blog","wire-gauge-calculator","/tools/electrical/wire-gauge-calculator.html","/tools/electrical/wire-gauge-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/wire-gauge-calculator.html | /tools/electrical/","Informational","High","Planned","52","208","what-size-wire-for-100-amp-service","AWG table"
"209","how to calculate voltage drop for long runs","electrical","Blog","voltage-drop-calculator","/tools/electrical/voltage-drop-calculator.html","/tools/electrical/voltage-drop-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/voltage-drop-calculator.html | /tools/electrical/","Informational","High","Planned","53","209","how-to-calculate-voltage-drop-for-long-runs","NEC 3% rule"
"210","circuit load calculator for garage","electrical","Blog","circuit-load-calculator","/tools/electrical/circuit-load-calculator.html","/tools/electrical/circuit-load-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/conduit-fill-calculator.html | /tools/electrical/","/tools/electrical/circuit-load-calculator.html | /tools/electrical/","Informational","Medium","Planned","53","210","circuit-load-calculator-for-garage",""
"211","what size breaker for a 2000 watt heater","electrical","Blog","amp-calculator","/tools/electrical/amp-calculator.html","/tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/conduit-fill-calculator.html | /tools/electrical/","/tools/electrical/amp-calculator.html | /tools/electrical/","Informational","Medium","Planned","53","211","what-size-breaker-for-a-2000-watt-heater",""
"212","conduit fill calculation nec","electrical","Blog","conduit-fill-calculator","/tools/electrical/conduit-fill-calculator.html","/tools/electrical/conduit-fill-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/conduit-fill-calculator.html | /tools/electrical/","Informational","Medium","Planned","53","212","conduit-fill-calculation-nec","53/31/40%"
"213","how many recessed lights per room","electrical","Blog","lighting-calculator","/tools/electrical/lighting-calculator.html","/tools/electrical/lighting-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/lighting-calculator.html | /tools/electrical/","Informational","Medium","Planned","54","213","how-many-recessed-lights-per-room",""
"214","amp to watt conversion 120v","electrical","Blog","wattage-calculator","/tools/electrical/wattage-calculator.html","/tools/electrical/wattage-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/wattage-calculator.html | /tools/electrical/","Informational","Low","Planned","54","214","amp-to-watt-conversion-120v",""
"215","wire size for 60 amp subpanel","electrical","Blog","wire-gauge-calculator","/tools/electrical/wire-gauge-calculator.html","/tools/electrical/wire-gauge-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/wire-gauge-calculator.html | /tools/electrical/","Informational","Medium","Planned","54","215","wire-size-for-60-amp-subpanel",""
"216","cost to rewire a house per square foot 2026","electrical","Blog","circuit-load-calculator","/tools/electrical/circuit-load-calculator.html","/tools/electrical/circuit-load-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/conduit-fill-calculator.html | /tools/electrical/","/tools/electrical/circuit-load-calculator.html | /tools/electrical/","Commercial","High","Planned","54","216","cost-to-rewire-a-house-per-square-foot-2026",""
"217","how many watts does a room need for lighting","electrical","Blog","lighting-calculator","/tools/electrical/lighting-calculator.html","/tools/electrical/lighting-calculator.html | /tools/electrical/amp-calculator.html | /tools/electrical/circuit-load-calculator.html | /tools/electrical/","/tools/electrical/lighting-calculator.html | /tools/electrical/","Informational","Low","Planned","55","217","how-many-watts-does-a-room-need-for-lighting",""
"218","how many studs for a 20 foot wall","framing","Blog","stud-calculator","/tools/framing/stud-calculator.html","/tools/framing/stud-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/stud-calculator.html | /tools/framing/","Informational","High","Planned","55","218","how-many-studs-for-a-20-foot-wall","16/24 oc"
"219","header size for a 6 foot opening","framing","Blog","header-calculator","/tools/framing/header-calculator.html","/tools/framing/header-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/rafter-calculator.html | /tools/framing/","/tools/framing/header-calculator.html | /tools/framing/","Informational","Medium","Planned","55","219","header-size-for-a-6-foot-opening",""
"220","how to calculate rafter length","framing","Blog","rafter-calculator","/tools/framing/rafter-calculator.html","/tools/framing/rafter-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/rafter-calculator.html | /tools/framing/","Informational","High","Planned","55","220","how-to-calculate-rafter-length",""
"221","wall sheathing cost per sheet osb","framing","Blog","sheathing-calculator","/tools/framing/sheathing-calculator.html","/tools/framing/sheathing-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/sheathing-calculator.html | /tools/framing/","Commercial","Medium","Planned","56","221","wall-sheathing-cost-per-sheet-osb",""
"222","floor joist span for 2x10","framing","Blog","beam-calculator","/tools/framing/beam-calculator.html","/tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/rafter-calculator.html | /tools/framing/","/tools/framing/beam-calculator.html | /tools/framing/","Informational","Medium","Planned","56","222","floor-joist-span-for-2x10",""
"223","how many jack studs for a header","framing","Blog","header-calculator","/tools/framing/header-calculator.html","/tools/framing/header-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/rafter-calculator.html | /tools/framing/","/tools/framing/header-calculator.html | /tools/framing/","Informational","Low","Planned","56","223","how-many-jack-studs-for-a-header",""
"224","cost to frame a house per square foot 2026","framing","Blog","stud-calculator","/tools/framing/stud-calculator.html","/tools/framing/stud-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/stud-calculator.html | /tools/framing/","Commercial","High","Planned","56","224","cost-to-frame-a-house-per-square-foot-2026",""
"225","rafter spacing 16 vs 24 inches","framing","Blog","rafter-calculator","/tools/framing/rafter-calculator.html","/tools/framing/rafter-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/rafter-calculator.html | /tools/framing/","Informational","Low","Planned","57","225","rafter-spacing-16-vs-24-inches",""
"226","double top plate vs single framing code","framing","Blog","stud-calculator","/tools/framing/stud-calculator.html","/tools/framing/stud-calculator.html | /tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/","/tools/framing/stud-calculator.html | /tools/framing/","Informational","Low","Planned","57","226","double-top-plate-vs-single-framing-code",""
"227","beam size for a 12 foot span","framing","Blog","beam-calculator","/tools/framing/beam-calculator.html","/tools/framing/beam-calculator.html | /tools/framing/header-calculator.html | /tools/framing/rafter-calculator.html | /tools/framing/","/tools/framing/beam-calculator.html | /tools/framing/","Informational","Medium","Planned","57","227","beam-size-for-a-12-foot-span",""
